ts,level,code,detail
2026-04-08T00:00:06-07:00,INFO,HB,mode=FLAT px=2246.02 bid=2245.56 ask=2245.57 sprd=0.01 reg=CHOP p=0.32 chop=0.68 pb=0.29 dir=0 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=26.99 cd=0s obi=-0.50 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=12s c5=12s errs=0
2026-04-08T00:00:21-07:00,INFO,HB,mode=FLAT px=2245.46 bid=2244.96 ask=2244.97 sprd=0.01 reg=CHOP p=0.32 chop=0.68 pb=0.29 dir=0 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=26.99 cd=0s obi=0.78 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=27s c5=27s errs=0
2026-04-08T00:00:23-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=0 p=0.32 pb=0.29 why=neutral_no_side blocker_family=neutral_no_side
2026-04-08T00:00:24-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2245.46
2026-04-08T00:00:37-07:00,INFO,HB,mode=FLAT px=2245.69 bid=2245.41 ask=2245.42 sprd=0.01 reg=CHOP p=0.32 chop=0.68 pb=0.29 dir=0 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.06 rsi=22.72 cd=0s obi=-0.16 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=12s c5=12s errs=0
2026-04-08T00:00:52-07:00,INFO,HB,mode=FLAT px=2245.99 bid=2245.99 ask=2246.00 sprd=0.01 reg=CHOP p=0.32 chop=0.68 pb=0.29 dir=0 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.06 rsi=22.72 cd=0s obi=-0.64 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=27s c5=27s errs=0
2026-04-08T00:00:54-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2245.99
2026-04-08T00:01:07-07:00,INFO,HB,mode=FLAT px=2245.99 bid=2245.99 ask=2246.00 sprd=0.01 reg=CHOP p=0.33 chop=0.67 pb=0.29 dir=0 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=26.20 cd=0s obi=0.07 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=12s c5=12s errs=0
2026-04-08T00:01:23-07:00,INFO,HB,mode=FLAT px=2245.61 bid=2245.13 ask=2245.14 sprd=0.01 reg=CHOP p=0.33 chop=0.67 pb=0.29 dir=0 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=26.20 cd=0s obi=0.75 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=28s c5=28s errs=0
2026-04-08T00:01:24-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=0 p=0.33 pb=0.29 why=neutral_no_side blocker_family=neutral_no_side
2026-04-08T00:01:25-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2245.61
2026-04-08T00:01:38-07:00,INFO,HB,mode=FLAT px=2245.28 bid=2245.27 ask=2245.28 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.33 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=24.01 cd=0s obi=0.31 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=13s c5=13s errs=0
2026-04-08T00:01:53-07:00,INFO,HB,mode=FLAT px=2245.62 bid=2246.11 ask=2246.12 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.33 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=24.01 cd=0s obi=0.68 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=28s c5=28s errs=0
2026-04-08T00:01:55-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2246.12
2026-04-08T00:02:09-07:00,INFO,HB,mode=FLAT px=2246.31 bid=2246.30 ask=2246.31 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.33 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=26.29 cd=0s obi=-0.11 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=13s c5=13s errs=0
